# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_Network_BasisCor_SparCC_GT0.2_pval0.01_FunGroups_Time0.txt
# >> Input file 2: "Network_BasisCor_SparCC_GT0.2_pval0.01_FunGroups_Time0.txt
# >> Clustering of nodes with the Average Linkage method
# >> Running at date:  (mm,dd,yy) 3, 30, 2021, and time: 0:31:51,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
11	0.799154192630029	0.273511581040606	0.0197869101978691	0.253724670842737	1	31	1	32	2	62	0	0	31	32	2	36	0	0	31	32	1	61	paucimonas.spp.	herbaspirillum.rubrisubalbicans	13	644	657
12	0.797531287131694	0.288079965472004	0.0213089802130898	0.266770985258914	1	15	1	11	2	25	0	0	15	11	2	14	0	0	15	11	1	24	pseudomonas.migulae	pseudomonas.tolaasii	14	643	657
13	0.790049509321592	0.317570072016905	0.0228310502283105	0.294739021788595	1	25	1	26	2	50	0	0	25	26	2	28	0	0	25	26	1	49	herbaspirillum.spp.	pseudomonas.pseudoalcaligenes	15	642	657
14	0.755307419350329	0.321367999102503	0.0258751902587519	0.295492808843752	2	25	1	12	3	35	2	0	14	12	3	15	1	0	24	12	3	32	pseudomonas.migulae	pseudomonas.trivialis	17	640	657
15	0.747097337278874	0.32651363352896	0.0289193302891933	0.297594303239766	1	18	2	21	3	37	0	2	18	11	3	16	0	1	18	20	3	34	serratia.fonticola	serratia.quinivorans	19	638	657
16	0.711544893429039	0.337180014807499	0.0319634703196347	0.305216544487864	1	28	2	50	3	76	0	2	28	28	3	32	0	1	28	49	3	73	brevundimonas.aurantiaca	herbaspirillum.spp.	21	636	657
17	0.711419005603084	0.34940413961724	0.0334855403348554	0.315918599282384	1	17	1	10	2	26	0	0	17	10	2	16	0	0	17	10	1	25	cedecea.spp.	trabulsiella.spp.	22	635	657
18	0.710173771505564	0.35457917766899	0.0350076103500761	0.319571567318914	1	6	1	4	2	9	0	0	6	4	2	5	0	0	6	4	1	8	paenibacillus.borealis	paenibacillus.wynnii	23	634	657
19	0.706636299687731	0.371680081957646	0.0365296803652968	0.335150401592349	1	14	1	17	2	30	0	0	14	17	2	17	0	0	14	17	1	29	pseudomonas.balearica	stenotrophomonas.maltophilia	24	633	657
20	0.702042712172909	0.38017382953278	0.0410958904109589	0.339077939121821	3	35	1	18	4	50	3	0	15	18	4	17	3	0	32	18	6	44	pseudomonas.migulae	pseudomonas.veronii	27	630	657
21	0.692543176393117	0.386416490980921	0.0441400304414003	0.34227646053952	2	45	1	22	3	65	2	0	25	22	3	28	1	0	44	22	3	62	pantoea.vagens	escherichia_shigella.spp.	29	628	657
22	0.683348087602482	0.393228107720863	0.0471841704718417	0.346043937249022	2	30	1	17	3	45	2	0	17	17	3	19	1	0	29	17	3	42	pseudomonas.balearica	aquabacterium.spp.	31	626	657
23	0.660883705213614	0.403507820889393	0.0517503805175038	0.35175744037189	3	79	1	29	4	105	3	0	29	29	4	32	3	0	76	29	6	99	pseudomonas.rhizosphaerae	pseudomonas.thivervalensis	34	623	657
24	0.64177700298763	0.430334304907658	0.0532724505327245	0.377061854374934	1	34	1	25	2	58	0	0	34	25	2	36	0	0	34	25	1	57	pseudomonas.syringae	stenotrophomonas.rhizophila	35	622	657
25	0.639746523098969	0.419426801347978	0.0654490106544901	0.353977790693488	4	105	2	37	6	134	4	2	32	20	6	31	6	1	99	36	15	119	pseudomonas.rhizosphaerae	pseudomonas.marincola	43	614	657
26	0.630419087258973	0.400144979614823	0.0791476407914764	0.320997338823346	3	104	3	65	6	160	3	3	37	28	6	38	3	3	101	62	15	145	pantoea.agglomerans	pantoea.vagens	52	605	657
27	0.62247766060968	0.407192210908205	0.0821917808219178	0.325000430086287	2	32	1	18	3	48	2	0	17	18	3	19	1	0	31	18	3	45	acinetobacter.johnsonii	massilia.timonae	54	603	657
28	0.610878616027892	0.415001497077936	0.0867579908675799	0.328243506210357	3	76	1	29	4	102	3	0	32	29	4	37	3	0	73	29	6	96	brevundimonas.aurantiaca	phenylobacterium.spp.	57	600	657
29	0.606043120356804	0.445210358907803	0.0882800608828006	0.356930298025002	1	31	1	30	2	60	0	0	31	30	2	36	0	0	31	30	1	59	pedobacter.daejeonensis	novosphingobium.subarcticum	58	599	657
30	0.598575772028534	0.449370870144261	0.091324200913242	0.358046669231019	2	26	1	12	3	36	2	0	16	12	3	17	1	0	25	12	3	33	cedecea.spp.	erwinia.rhapontici	60	597	657
31	0.59582986697661	0.443478786958823	0.10958904109589	0.333889745862933	3	45	4	102	7	135	3	4	19	37	7	34	3	6	42	96	21	114	pseudomonas.balearica	brevundimonas.aurantiaca	72	585	657
32	0.591237154732729	0.456235183276864	0.111111111111111	0.345124072165753	1	12	1	21	2	32	0	0	12	21	2	21	0	0	12	21	1	31	rhizobium.spp.	agrobacterium.tumefaciens	73	584	657
33	0.587595870135176	0.463655274601064	0.114155251141553	0.349500023459512	1	25	2	58	3	81	0	2	25	36	3	39	0	1	25	57	3	78	comamonas.spp.	pseudomonas.syringae	75	582	657
34	0.582333440388706	0.465532214494221	0.120243531202435	0.345288683291786	4	50	1	19	5	65	4	0	17	19	5	24	6	0	44	19	10	55	pseudomonas.migulae	pseudomonas.putida	79	578	657
35	0.5778649380621	0.470098424539883	0.121765601217656	0.348332823322227	1	3	1	3	2	5	0	0	3	3	2	2	0	0	3	3	1	4	arthrobacter.protophormiae	arthrobacter.sulfureus	80	577	657
36	0.55075115301864	0.474664634585545	0.123287671232877	0.351376963352669	1	3	1	3	2	5	0	0	3	3	2	2	0	0	3	3	1	4	acinetobacter.junii	acinetobacter.spp.	81	576	657
37	0.547492355467568	0.478723487959467	0.124809741248097	0.35391374671137	1	4	1	3	2	6	0	0	4	3	2	3	0	0	4	3	1	5	weeksella.spp.	tepidimonas.spp.	82	575	657
38	0.538498349177054	0.483507136578732	0.126331811263318	0.357175325315414	1	4	1	8	2	11	0	0	4	8	2	7	0	0	4	8	1	10	brevundimonas.bullata	brevundimonas.variabilis	83	574	657
39	0.529587152439104	0.481194949988162	0.158295281582953	0.322899668405209	3	48	7	135	10	162	3	7	19	34	10	35	3	21	45	114	45	117	acinetobacter.johnsonii	pseudomonas.balearica	104	553	657
40	0.510262342211562	0.4738257221932	0.185692541856925	0.288133180336274	3	81	6	134	9	197	3	6	39	31	9	40	3	15	78	119	36	161	comamonas.spp.	pseudomonas.rhizosphaerae	122	535	657
41	0.509915879789367	0.476869862223641	0.187214611872146	0.289655250351495	1	2	1	2	2	3	0	0	2	2	2	1	0	0	2	2	1	2	streptomyces.xanthochromogenes	streptomyces.viridochromogenes	123	534	657
42	0.508380609485899	0.468398210057742	0.211610011838322	0.256788198219419	6	160	3	36	9	179	6	3	38	17	9	36	15	3	145	33	35	144	pantoea.agglomerans	cedecea.spp.	140	517	657
43	0.50416807781533	0.473471776775144	0.211610011838322	0.261861764936821	1	4	1	6	2	10	0	0	4	6	0	6	0	0	4	6	0	10	pleomorphomonas.spp.	nocardioides.spp.	140	517	657
44	0.499468502299258	0.476515916805585	0.213132081853543	0.263383834952042	1	2	1	2	2	3	0	0	2	2	2	1	0	0	2	2	1	2	neisseria.subflava	haemophilus.parainfluenzae	141	516	657
45	0.498264080247653	0.480833111720081	0.216176221883984	0.264656889836096	2	30	1	14	3	42	2	0	16	14	3	17	1	0	29	14	3	39	delftia.lacustris	acidovorax.spp.	143	514	657
46	0.496944500109916	0.483877251750522	0.216176221883984	0.267701029866537	1	2	1	2	2	4	0	0	2	2	0	2	0	0	2	2	0	4	chryseobacterium.soldanellicola	epilithonimonas.lactis	143	514	657
47	0.486315952407231	0.486921391780963	0.217698291899205	0.269223099881758	1	2	1	2	2	3	0	0	2	2	2	1	0	0	2	2	1	2	hylemonella.spp.	acidovorax.konjaci	144	513	657
48	0.474961868487057	0.488443461796184	0.220742431929647	0.267701029866537	2	3	1	2	3	3	2	0	1	2	3	0	1	0	2	2	3	0	streptomyces.xanthochromogenes	streptomyces.sanglieri	146	511	657
49	0.461717985854829	0.491994958498366	0.222264501944867	0.269730456553498	1	7	1	3	2	9	0	0	7	3	2	6	0	0	7	3	1	8	acinetobacter.towneri	acinetobacter.genomosp..3	147	510	657
50	0.452070676696271	0.499051828568934	0.223786571960088	0.275265256608846	1	10	1	8	2	17	0	0	10	8	2	11	0	0	10	8	1	16	acinetobacter.piperi	pedobacter.cryoconitis	148	509	657
51	0.44939891837739	0.499675454477949	0.226830711990529	0.272844742487419	2	60	1	16	3	74	2	0	36	16	3	36	1	0	59	16	3	71	pedobacter.daejeonensis	janthinobacterium.lividum	150	507	657
52	0.432637024211347	0.500753587405396	0.229874852020971	0.270878735384426	2	6	1	2	3	6	2	0	3	2	3	2	1	0	5	2	3	3	weeksella.spp.	pseudoxanthomonas.taiwanensis	152	505	657
53	0.41694034981867	0.504189116868323	0.232918992051412	0.271270124816911	1	10	2	11	3	19	0	2	10	7	3	10	0	1	10	10	3	16	bosea.thiooxidans	brevundimonas.bullata	154	503	657
54	0.410628338826722	0.504950151875933	0.235963132081854	0.26898701979408	2	5	1	2	3	5	2	0	2	2	3	1	1	0	4	2	3	2	arthrobacter.protophormiae	arthrobacter.spp.	156	501	657
55	0.407664690987214	0.504533261375441	0.240529342127516	0.264003919247925	1	6	3	42	4	45	0	3	6	17	4	16	0	3	6	39	6	39	caenimonas.spp.	delftia.lacustris	159	498	657
56	0.404028554901512	0.507672530781833	0.240529342127516	0.267143188654318	1	5	1	6	2	11	0	0	5	6	0	8	0	0	5	6	0	11	ralstonia.pickettii	novispirillum.novospirillum.itersonii	159	498	657
57	0.392936968464321	0.506346094502486	0.274901362800906	0.23144473170158	5	65	9	197	14	229	5	9	24	40	14	40	10	36	55	161	79	150	pseudomonas.migulae	comamonas.spp.	192	465	657
58	0.39220111117187	0.514146703330492	0.276423432816127	0.237723270514365	1	7	1	17	2	23	0	0	7	17	2	16	0	0	7	17	1	22	vogesella.spp.	corynebacteriales.spp.	193	464	657
59	0.390060241737527	0.513262453131173	0.279467572846568	0.233794880284605	2	32	1	5	3	35	2	0	21	5	3	20	1	0	31	5	3	32	rhizobium.spp.	rhizobium.sullae	195	462	657
60	0.38795611378257	0.515799236489875	0.280989642861789	0.234809593628086	1	2	1	4	2	5	0	0	2	4	2	3	0	0	2	4	1	4	bacillus.thermoamylovorans	cloacibacterium.spp.	196	461	657
61	0.38234404142464	0.508914254970861	0.299558128325252	0.20935612664561	9	179	3	37	12	197	9	3	36	16	12	34	35	3	144	34	57	140	pantoea.agglomerans	serratia.fonticola	215	442	657
62	0.369990591048997	0.510436324986082	0.302602268355693	0.207834056630389	2	3	1	3	3	4	2	0	1	3	3	1	1	0	2	3	3	1	hylemonella.spp.	variovorax.spp.	217	440	657
63	0.365460968711445	0.511958395001303	0.304124338370914	0.207834056630389	1	1	1	2	2	2	0	0	1	2	2	1	0	0	1	2	1	1	methylobacterium.thiocyanatum	sphingobium.yanoikuyae	218	439	657
64	0.359529778606388	0.497133699002297	0.322758165223919	0.174375533778378	10	162	2	62	12	208	10	2	35	36	12	46	45	1	117	61	62	146	acinetobacter.johnsonii	paucimonas.spp.	234	423	657
65	0.34999555728266	0.498655769017517	0.32580230525436	0.172853463763157	2	3	1	4	3	5	2	0	1	4	3	2	1	0	2	4	3	2	neisseria.subflava	streptococcus.salivarius	236	421	657
66	0.349115837476552	0.500177839032738	0.327324375269581	0.172853463763157	1	2	1	1	2	2	0	0	2	1	2	1	0	0	2	1	1	1	devosia.yakushimanensis	devosia.soli	237	420	657
67	0.340311746711851	0.500685195704478	0.327324375269581	0.173360820434898	2	4	1	3	3	7	0	0	2	3	0	3	0	0	4	3	0	7	chryseobacterium.soldanellicola	pedobacter.wanjuense	237	420	657
68	0.334502032560961	0.502207265719699	0.328846445284801	0.173360820434898	1	1	1	4	2	4	0	0	1	4	2	3	0	0	1	4	1	3	paenibacillus.favisporus	paenibacillus.xylanilyticus	238	419	657
69	0.333333333333333	0.50372933573492	0.330368515300022	0.173360820434898	1	1	1	1	2	1	0	0	1	1	2	0	0	0	1	1	1	0	nitrosococcus.spp.	flexibacter.spp.	239	418	657
70	0.333333333333333	0.50525140575014	0.331890585315243	0.173360820434898	1	1	1	1	2	1	0	0	1	1	2	0	0	0	1	1	1	0	azospira.spp.	rhodoplanes.spp.	240	417	657
71	0.333333333333333	0.506773475765361	0.333412655330464	0.173360820434898	1	1	1	1	2	1	0	0	1	1	2	0	0	0	1	1	1	0	leifsonia.spp.	agromyces.neoliticus	241	416	657
72	0.333333333333333	0.508295545780582	0.334934725345684	0.173360820434898	1	1	1	1	2	1	0	0	1	1	2	0	0	0	1	1	1	0	phyllobacterium.trifolii	nitratireductor.spp.	242	415	657
73	0.333310020087934	0.509817615795802	0.334934725345684	0.174882890450118	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	dysgonomonas.spp.	chryseobacterium.gregarium	242	415	657
74	0.332693126857213	0.511339685811023	0.334934725345684	0.176404960465339	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	veillonella.dispar	leptotrichia.buccalis	242	415	657
75	0.330892990946097	0.512100720818633	0.334934725345684	0.177165995472949	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	dysgonomonas.spp.	pedobacter.aquatilis	242	415	657
76	0.325455773363896	0.513622790833854	0.334934725345684	0.17868806548817	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	leucobacter.spp.	yonghaparkia.palkaliphila	242	415	657
77	0.325168701613651	0.514637504177335	0.336710473696775	0.17792703048056	1	3	3	5	4	6	0	3	3	1	4	1	0	3	3	2	5	1	arthrobacter.sp.	arthrobacter.protophormiae	244	413	657
78	0.324730529264928	0.516159574192555	0.338232543711996	0.17792703048056	1	1	1	3	2	3	0	0	1	3	2	2	0	0	1	3	1	2	pedobacter.steynii	pedobacter.insulae	245	412	657
79	0.320655100032877	0.517681644207776	0.338232543711996	0.179449100495781	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	burkholderia.sordidicola	burkholderia.xenovorans	245	412	657
80	0.319992125699464	0.517912260876749	0.338739900383736	0.179172360493013	1	5	2	17	3	21	0	2	5	11	3	11	0	1	5	16	2	19	massilia.spp.	acinetobacter.piperi	246	411	657
81	0.319436585161168	0.51683060463908	0.337471508704385	0.179359095934695	2	9	2	11	4	20	2	0	6	8	2	9	1	0	8	11	1	19	acinetobacter.towneri	ralstonia.pickettii	246	411	657
82	0.318239026923044	0.515576538766938	0.361506377944734	0.154070160822204	12	208	4	45	16	223	12	4	46	16	16	46	62	6	146	39	98	125	acinetobacter.johnsonii	caenimonas.spp.	276	381	657
83	0.315010916502245	0.518049902541672	0.363028447959955	0.155021454581717	1	5	1	2	2	6	0	0	5	2	2	4	0	0	5	2	1	5	sphingomonas.oligophenolica	sphingomonas.spp.	277	380	657
84	0.309970939278416	0.513547112079977	0.361760056280604	0.151787055799373	2	10	2	23	4	33	0	2	6	16	2	16	0	1	10	22	1	32	pleomorphomonas.spp.	vogesella.spp.	277	380	657
85	0.308710530250229	0.515576538766938	0.364804196311045	0.150772342455893	1	4	2	5	3	7	0	2	4	3	3	4	0	1	4	4	3	4	corynebacterium.diphtheriae	bacillus.thermoamylovorans	279	378	657
86	0.305275161843694	0.514926199760435	0.367848336341487	0.147077863418948	2	19	1	7	3	24	2	0	10	7	3	11	1	0	18	7	3	21	rhizobium.giardinii	rhizobium.cellulosilyticus	281	376	657
87	0.297407267171062	0.517399563535168	0.369370406356708	0.148029157178461	1	2	1	5	2	6	0	0	2	5	2	4	0	0	2	5	1	5	sphingomonas.aestuarii	sphingomonas.yabuuchiae	282	375	657
88	0.294644980164765	0.518921633550389	0.369370406356708	0.149551227193682	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	bergeyella.spp.	corynebacterium.testudinoris	282	375	657
89	0.284693005829902	0.52044370356561	0.369370406356708	0.151073297208902	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	novosphingobium.spp.	novosphingobium.capsulatum	282	375	657
90	0.281700500086228	0.520063186061804	0.369370406356708	0.150692779705097	3	3	1	2	4	5	0	0	1	2	0	2	0	0	3	2	0	5	dysgonomonas.spp.	pedobacter.spp.	282	375	657
91	0.279407593223526	0.52120473857322	0.369370406356708	0.151834332216513	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	brevundimonas.spp.	limnohabitans.curvus	282	375	657
92	0.276726777799601	0.503685874492443	0.381466287912702	0.122219586579742	14	229	3	74	17	281	14	3	40	36	17	51	79	3	150	71	104	177	pseudomonas.migulae	pedobacter.daejeonensis	304	353	657
93	0.248891912822402	0.504193231164183	0.383495714599663	0.120697516564521	2	2	1	2	3	2	0	0	1	2	3	0	0	0	2	2	2	0	leucobacter.spp.	curtobacterium.flaccumfaciens	306	351	657
94	0.248216501459392	0.504700587835924	0.385525141286624	0.1191754465493	1	2	2	2	3	2	0	0	2	1	3	0	0	0	2	2	2	0	burkholderia.sediminicola	burkholderia.sordidicola	308	349	657
95	0.242590821681993	0.502290643645158	0.385525141286624	0.116765502358534	3	7	4	5	7	12	0	0	3	2	0	4	0	0	7	5	0	12	chryseobacterium.soldanellicola	dysgonomonas.spp.	308	349	657
96	0.240337368813098	0.502417482813093	0.385525141286624	0.116892341526469	1	2	2	3	3	5	0	0	2	2	0	3	0	0	2	3	0	5	blastococcus.aggregatus	brevundimonas.spp.	308	349	657
97	0.232921842189694	0.502874103817659	0.388569281317065	0.114304822500594	1	3	2	9	3	10	0	2	3	5	3	5	0	1	3	8	3	7	paenibacillus.spp.	paenibacillus.borealis	310	347	657
98	0.231928497084755	0.482787468298877	0.408531589825874	0.0742558784730039	17	281	12	197	29	399	17	12	51	34	29	45	104	57	177	140	240	159	pseudomonas.migulae	pantoea.agglomerans	389	268	657
99	0.227246876950721	0.480504363276046	0.407770554818264	0.0727338084577832	2	2	3	7	5	7	0	3	1	4	5	2	0	3	2	4	5	2	bergeyella.spp.	corynebacterium.diphtheriae	391	266	657
100	0.22212893427886	0.482474230701542	0.409546303169354	0.0729279275321882	3	35	1	12	4	45	3	0	20	12	4	23	3	0	32	12	5	40	rhizobium.spp.	sphingomonas.faeni	393	264	657
101	0.216379648855002	0.469556422316507	0.408673115634307	0.0608833066822007	16	223	4	33	20	232	16	2	46	16	20	42	98	1	125	32	123	109	acinetobacter.johnsonii	pleomorphomonas.spp.	417	240	657
102	0.215861661944529	0.468972962144006	0.409687828977787	0.059285133166219	2	6	2	6	4	10	2	2	4	4	4	5	1	1	5	5	4	6	sphingomonas.oligophenolica	sphingomonas.aestuarii	419	238	657
103	0.210139370325089	0.468375006066597	0.409687828977787	0.0586871770888108	7	12	1	3	8	15	0	0	4	3	0	6	0	0	12	3	0	15	chryseobacterium.soldanellicola	rhodopseudomonas.spp.	419	238	657
104	0.208449643969607	0.469262880242143	0.409687828977787	0.0595750512643562	1	2	1	5	2	7	0	0	2	5	0	6	0	0	2	5	0	7	achromobacter.xylosoxidans	stenotrophomonas.chelatiphaga	419	238	657
105	0.206520403219414	0.466979775219312	0.408926793970177	0.0580529812491355	2	2	3	5	5	5	0	3	1	2	5	0	0	3	2	2	5	0	veillonella.dispar	neisseria.subflava	421	236	657
106	0.203100439894816	0.462797305581214	0.410267665174062	0.0525296404071526	4	45	3	24	7	64	4	3	23	11	7	21	5	3	40	21	13	51	rhizobium.spp.	rhizobium.giardinii	426	231	657
107	0.185531086123101	0.46274656991404	0.410267665174062	0.0524789047399786	1	3	3	5	4	8	0	0	3	3	0	5	0	0	3	5	0	8	comamonas.testosteroni	blastococcus.aggregatus	426	231	657
108	0.170347550194804	0.462175793658332	0.409760308502321	0.0524154851560111	1	1	3	6	4	6	0	3	1	2	4	1	0	3	1	3	4	2	enterococcus.cecorum	weeksella.spp.	427	230	657
109	0.168328108131542	0.457022499463942	0.407861344959522	0.0491611545044202	7	64	3	19	10	78	7	3	21	10	10	19	13	3	51	16	21	57	rhizobium.spp.	bosea.thiooxidans	432	225	657
110	0.156253140854529	0.456159993121983	0.406998838617564	0.0491611545044202	4	6	1	1	5	6	4	0	1	1	5	0	5	0	1	1	6	0	arthrobacter.sp.	renibacterium.salmoninarum	433	224	657
111	0.145779232729304	0.452535028538115	0.404531035771868	0.0480039927662476	29	399	1	7	30	399	29	0	45	7	30	44	240	0	159	7	247	152	pseudomonas.migulae	pseudomonas.luteola	440	217	657
112	0.139733355609617	0.43149597902016	0.391169559816743	0.0403264192034179	20	232	4	20	24	236	20	2	42	9	24	39	123	1	109	19	140	96	acinetobacter.johnsonii	acinetobacter.towneri	456	201	657
113	0.135570427180918	0.4320033356919	0.391676916488483	0.0403264192034179	2	4	1	1	3	4	2	0	3	1	3	2	1	0	3	1	2	2	paenibacillus.favisporus	paenibacillus.lautus	457	200	657
114	0.133249760032077	0.426078033191255	0.389896555804013	0.0361814773872432	8	15	3	21	11	35	0	3	6	11	4	13	0	2	15	19	3	32	chryseobacterium.soldanellicola	massilia.spp.	458	199	657
115	0.106612060882844	0.425239247420962	0.390920493814252	0.0343187536067112	10	78	1	7	11	82	10	0	19	7	11	21	21	0	57	7	24	58	rhizobium.spp.	acidovorax.facilis	461	196	657
116	0.100625085807157	0.422740515812642	0.389296952464683	0.0334435633479593	3	10	3	4	6	12	3	3	5	2	6	4	3	2	7	2	7	5	paenibacillus.spp.	paenibacillus.favisporus	463	194	657
117	0.087394470369652	0.422867354980577	0.389296952464683	0.0335704025158943	2	7	1	1	3	8	0	0	6	1	0	6	0	0	7	1	0	8	achromobacter.xylosoxidans	niabella.spp.	463	194	657
118	0.0798455092857231	0.367140408949727	0.346411501917102	0.0207289070326267	30	399	11	82	41	435	30	11	44	21	41	38	247	24	152	58	317	118	pseudomonas.migulae	rhizobium.spp.	509	148	657
119	0.073024477807273	0.36546879289455	0.346338059377906	0.019130733516645	2	2	11	35	13	37	0	4	1	13	4	13	0	3	2	32	3	34	novosphingobium.spp.	chryseobacterium.soldanellicola	509	148	657
120	0.0729122722645644	0.361603218252719	0.343148960298396	0.0184542579543247	4	10	4	8	8	18	4	0	5	5	4	9	4	0	6	8	4	14	sphingomonas.oligophenolica	comamonas.testosteroni	509	148	657
121	0.0681176412502177	0.346934698998137	0.33200408197067	0.0149306170274676	24	236	2	5	26	237	24	2	39	2	26	37	140	1	96	4	145	92	acinetobacter.johnsonii	acinetobacter.junii	513	144	657
122	0.0627657568065666	0.34367916035447	0.329255899998744	0.0144232603557273	5	7	4	6	9	11	5	4	2	1	9	0	5	4	2	2	11	0	bergeyella.spp.	enterococcus.cecorum	515	142	657
123	0.062138313260304	0.343235223266698	0.328241186655263	0.0149940366114351	2	3	1	1	3	4	2	0	2	1	2	2	1	0	2	1	1	3	pedobacter.steynii	mucilaginibacter.spp.	515	142	657
124	0.0526933352807642	0.313169049338047	0.300108785436641	0.0130602639014067	26	237	8	18	34	242	26	4	37	9	34	30	145	4	92	14	162	80	acinetobacter.johnsonii	sphingomonas.oligophenolica	528	129	657
125	0.0483922731572144	0.3114398551431	0.298643026436636	0.0127968287064646	2	2	13	37	15	39	2	4	1	13	6	13	1	3	1	34	4	35	devosia.yakushimanensis	novosphingobium.spp.	528	129	657
126	0.0458648639006861	0.311085309468919	0.298309620623778	0.0127756888451421	6	12	1	1	7	12	6	0	4	1	7	3	7	0	5	1	8	4	paenibacillus.spp.	paenibacillus.chondroitinus	529	128	657
127	0.0402444684126947	0.291050237022631	0.279644162791349	0.0114060742312828	41	435	3	8	44	437	41	0	38	6	43	36	317	0	118	8	323	114	pseudomonas.migulae	achromobacter.xylosoxidans	535	122	657
128	0.0302128784442233	0.231732037422665	0.224927697906156	0.00680433951650964	44	437	15	39	59	446	43	6	36	13	59	25	323	4	114	35	357	89	pseudomonas.migulae	devosia.yakushimanensis	565	92	657
129	0.0254016357131945	0.228468526655009	0.221690304983026	0.00677822167198432	34	242	1	1	35	242	34	0	30	1	35	29	162	0	80	1	163	79	acinetobacter.johnsonii	alcanivorax.dieselolei	566	91	657
130	0.0157062982591645	0.225341560870301	0.218525953149707	0.00681560772059508	59	446	1	1	60	446	59	0	25	1	60	24	357	0	89	1	358	88	pseudomonas.migulae	escherichia.coli	567	90	657
131	0.0110757808093727	0.222368086209171	0.215508809174458	0.00685927703471391	60	446	1	1	61	446	60	0	24	1	61	23	358	0	88	1	359	87	pseudomonas.migulae	shinella.spp.	568	89	657
