# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_Network_BasisCor_SparCC_GT0.2_pval0.01_FunGroups_Time0.txt
# >> Input file 2: "Network_BasisCor_SparCC_GT0.2_pval0.01_FunGroups_Time0.txt
# >> Clustering of nodes with the Average Linkage method
# >> Recovering classification at step: 91
# >> Running at date:  (mm,dd,yy) 3, 30, 2021, and time: 0:40:36,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
11	0.799154192630029	0.273511581040606	0.0197869101978691	0.253724670842737	1	31	1	32	2	62	0	0	31	32	2	36	0	0	31	32	1	61	paucimonas.spp.	herbaspirillum.rubrisubalbicans	13	644	657
12	0.797531287131694	0.288079965472004	0.0213089802130898	0.266770985258914	1	15	1	11	2	25	0	0	15	11	2	14	0	0	15	11	1	24	pseudomonas.migulae	pseudomonas.tolaasii	14	643	657
13	0.790049509321592	0.317570072016905	0.0228310502283105	0.294739021788595	1	25	1	26	2	50	0	0	25	26	2	28	0	0	25	26	1	49	herbaspirillum.spp.	pseudomonas.pseudoalcaligenes	15	642	657
14	0.755307419350329	0.321367999102503	0.0258751902587519	0.295492808843752	2	25	1	12	3	35	2	0	14	12	3	15	1	0	24	12	3	32	pseudomonas.migulae	pseudomonas.trivialis	17	640	657
15	0.747097337278874	0.32651363352896	0.0289193302891933	0.297594303239766	1	18	2	21	3	37	0	2	18	11	3	16	0	1	18	20	3	34	serratia.fonticola	serratia.liquefaciens	19	638	657
16	0.711544893429039	0.337180014807499	0.0319634703196347	0.305216544487864	2	50	1	28	3	76	2	0	28	28	3	32	1	0	49	28	3	73	herbaspirillum.spp.	brevundimonas.aurantiaca	21	636	657
17	0.711419005603084	0.34940413961724	0.0334855403348554	0.315918599282384	1	17	1	10	2	26	0	0	17	10	2	16	0	0	17	10	1	25	cedecea.spp.	trabulsiella.spp.	22	635	657
18	0.710173771505564	0.35457917766899	0.0350076103500761	0.319571567318914	1	4	1	6	2	9	0	0	4	6	2	5	0	0	4	6	1	8	paenibacillus.wynnii	paenibacillus.borealis	23	634	657
19	0.706636299687731	0.371680081957646	0.0365296803652968	0.335150401592349	1	17	1	14	2	30	0	0	17	14	2	17	0	0	17	14	1	29	stenotrophomonas.maltophilia	pseudomonas.balearica	24	633	657
20	0.702042712172909	0.38017382953278	0.0410958904109589	0.339077939121821	3	35	1	18	4	50	3	0	15	18	4	17	3	0	32	18	6	44	pseudomonas.migulae	pseudomonas.veronii	27	630	657
21	0.692543176393117	0.386416490980921	0.0441400304414003	0.34227646053952	1	22	2	45	3	65	0	2	22	25	3	28	0	1	22	44	3	62	escherichia_shigella.spp.	erwinia.persicina	29	628	657
22	0.683348087602482	0.393228107720863	0.0471841704718417	0.346043937249022	2	30	1	17	3	45	2	0	17	17	3	19	1	0	29	17	3	42	stenotrophomonas.maltophilia	aquabacterium.spp.	31	626	657
23	0.660883705213614	0.403507820889393	0.0517503805175038	0.35175744037189	1	29	3	79	4	105	0	3	29	29	4	32	0	3	29	76	6	99	pseudomonas.thivervalensis	pseudomonas.vranovensis	34	623	657
24	0.64177700298763	0.430334304907658	0.0532724505327245	0.377061854374934	1	25	1	34	2	58	0	0	25	34	2	36	0	0	25	34	1	57	stenotrophomonas.rhizophila	pseudomonas.syringae	35	622	657
25	0.639746523098969	0.419426801347978	0.0654490106544901	0.353977790693488	4	105	2	37	6	134	4	2	32	20	6	31	6	1	99	36	15	119	pseudomonas.thivervalensis	pseudomonas.marincola	43	614	657
26	0.630419087258973	0.400144979614823	0.0791476407914764	0.320997338823346	3	104	3	65	6	160	3	3	37	28	6	38	3	3	101	62	15	145	pantoea.agglomerans	escherichia_shigella.spp.	52	605	657
27	0.62247766060968	0.407192210908205	0.0821917808219178	0.325000430086287	2	32	1	18	3	48	2	0	17	18	3	19	1	0	31	18	3	45	acinetobacter.calcoaceticus	massilia.timonae	54	603	657
28	0.610878616027892	0.415001497077936	0.0867579908675799	0.328243506210357	3	76	1	29	4	102	3	0	32	29	4	37	3	0	73	29	6	96	herbaspirillum.spp.	phenylobacterium.spp.	57	600	657
29	0.606043120356804	0.445210358907803	0.0882800608828006	0.356930298025002	1	30	1	31	2	60	0	0	30	31	2	36	0	0	30	31	1	59	novosphingobium.subarcticum	pedobacter.daejeonensis	58	599	657
30	0.598575772028534	0.449370870144261	0.091324200913242	0.358046669231019	1	12	2	26	3	36	0	2	12	16	3	17	0	1	12	25	3	33	erwinia.rhapontici	cedecea.spp.	60	597	657
31	0.59582986697661	0.443478786958823	0.10958904109589	0.333889745862933	3	45	4	102	7	135	3	4	19	37	7	34	3	6	42	96	21	114	stenotrophomonas.maltophilia	herbaspirillum.spp.	72	585	657
32	0.591237154732729	0.456235183276864	0.111111111111111	0.345124072165753	1	12	1	21	2	32	0	0	12	21	2	21	0	0	12	21	1	31	rhizobium.spp.	agrobacterium.tumefaciens	73	584	657
33	0.587595870135176	0.463655274601064	0.114155251141553	0.349500023459512	1	25	2	58	3	81	0	2	25	36	3	39	0	1	25	57	3	78	comamonas.spp.	stenotrophomonas.rhizophila	75	582	657
34	0.582333440388706	0.465532214494221	0.120243531202435	0.345288683291786	4	50	1	19	5	65	4	0	17	19	5	24	6	0	44	19	10	55	pseudomonas.migulae	pseudomonas.putida	79	578	657
35	0.5778649380621	0.470098424539883	0.121765601217656	0.348332823322227	1	3	1	3	2	5	0	0	3	3	2	2	0	0	3	3	1	4	arthrobacter.sulfureus	arthrobacter.protophormiae	80	577	657
36	0.55075115301864	0.474664634585545	0.123287671232877	0.351376963352669	1	3	1	3	2	5	0	0	3	3	2	2	0	0	3	3	1	4	acinetobacter.spp.	acinetobacter.junii	81	576	657
37	0.547492355467568	0.478723487959467	0.124809741248097	0.35391374671137	1	3	1	4	2	6	0	0	3	4	2	3	0	0	3	4	1	5	tepidimonas.spp.	weeksella.spp.	82	575	657
38	0.538498349177054	0.483507136578732	0.126331811263318	0.357175325315414	1	8	1	4	2	11	0	0	8	4	2	7	0	0	8	4	1	10	brevundimonas.variabilis	brevundimonas.bullata	83	574	657
39	0.529587152439104	0.481194949988162	0.158295281582953	0.322899668405209	7	135	3	48	10	162	7	3	34	19	10	35	21	3	114	45	45	117	stenotrophomonas.maltophilia	acinetobacter.calcoaceticus	104	553	657
40	0.510262342211562	0.4738257221932	0.185692541856925	0.288133180336274	6	134	3	81	9	197	6	3	31	39	9	40	15	3	119	78	36	161	pseudomonas.thivervalensis	comamonas.spp.	122	535	657
41	0.509915879789367	0.476869862223641	0.187214611872146	0.289655250351495	1	2	1	2	2	3	0	0	2	2	2	1	0	0	2	2	1	2	streptomyces.xanthochromogenes	streptomyces.viridochromogenes	123	534	657
42	0.508380609485899	0.468398210057742	0.211610011838322	0.256788198219419	3	36	6	160	9	179	3	6	17	38	9	36	3	15	33	145	35	144	erwinia.rhapontici	pantoea.agglomerans	140	517	657
43	0.50416807781533	0.473471776775144	0.211610011838322	0.261861764936821	1	6	1	4	2	10	0	0	6	4	0	6	0	0	6	4	0	10	nocardioides.spp.	pleomorphomonas.spp.	140	517	657
44	0.499468502299258	0.476515916805585	0.213132081853543	0.263383834952042	1	2	1	2	2	3	0	0	2	2	2	1	0	0	2	2	1	2	haemophilus.parainfluenzae	neisseria.subflava	141	516	657
45	0.498264080247653	0.480833111720081	0.216176221883984	0.264656889836096	2	30	1	14	3	42	2	0	16	14	3	17	1	0	29	14	3	39	leptothrix.spp.	acidovorax.spp.	143	514	657
46	0.496944500109916	0.483877251750522	0.216176221883984	0.267701029866537	1	2	1	2	2	4	0	0	2	2	0	2	0	0	2	2	0	4	epilithonimonas.lactis	chryseobacterium.soldanellicola	143	514	657
47	0.486315952407231	0.486921391780963	0.217698291899205	0.269223099881758	1	2	1	2	2	3	0	0	2	2	2	1	0	0	2	2	1	2	hylemonella.spp.	acidovorax.konjaci	144	513	657
48	0.474961868487057	0.488443461796184	0.220742431929647	0.267701029866537	1	2	2	3	3	3	0	2	2	1	3	0	0	1	2	2	3	0	streptomyces.sanglieri	streptomyces.xanthochromogenes	146	511	657
49	0.461717985854829	0.491994958498366	0.222264501944867	0.269730456553498	1	7	1	3	2	9	0	0	7	3	2	6	0	0	7	3	1	8	acinetobacter.towneri	acinetobacter.genomosp..3	147	510	657
50	0.452070676696271	0.499051828568934	0.223786571960088	0.275265256608846	1	10	1	8	2	17	0	0	10	8	2	11	0	0	10	8	1	16	acinetobacter.piperi	pedobacter.cryoconitis	148	509	657
51	0.44939891837739	0.499675454477949	0.226830711990529	0.272844742487419	2	60	1	16	3	74	2	0	36	16	3	36	1	0	59	16	3	71	novosphingobium.subarcticum	janthinobacterium.lividum	150	507	657
52	0.432637024211347	0.500753587405396	0.229874852020971	0.270878735384426	2	6	1	2	3	6	2	0	3	2	3	2	1	0	5	2	3	3	tepidimonas.spp.	pseudoxanthomonas.taiwanensis	152	505	657
53	0.41694034981867	0.504189116868323	0.232918992051412	0.271270124816911	2	11	1	10	3	19	2	0	7	10	3	10	1	0	10	10	3	16	brevundimonas.variabilis	bosea.thiooxidans	154	503	657
54	0.410628338826722	0.504950151875933	0.235963132081854	0.26898701979408	2	5	1	2	3	5	2	0	2	2	3	1	1	0	4	2	3	2	arthrobacter.sulfureus	arthrobacter.spp.	156	501	657
55	0.407664690987214	0.504533261375441	0.240529342127516	0.264003919247925	3	42	1	6	4	45	3	0	17	6	4	16	3	0	39	6	6	39	leptothrix.spp.	caenimonas.spp.	159	498	657
56	0.404028554901512	0.507672530781833	0.240529342127516	0.267143188654318	1	6	1	5	2	11	0	0	6	5	0	8	0	0	6	5	0	11	novispirillum.novospirillum.itersonii	ralstonia.pickettii	159	498	657
57	0.392936968464321	0.506346094502486	0.274901362800906	0.23144473170158	5	65	9	197	14	229	5	9	24	40	14	40	10	36	55	161	79	150	pseudomonas.migulae	pseudomonas.thivervalensis	192	465	657
58	0.39220111117187	0.514146703330492	0.276423432816127	0.237723270514365	1	17	1	7	2	23	0	0	17	7	2	16	0	0	17	7	1	22	corynebacteriales.spp.	vogesella.spp.	193	464	657
59	0.390060241737527	0.513262453131173	0.279467572846568	0.233794880284605	1	5	2	32	3	35	0	2	5	21	3	20	0	1	5	31	3	32	rhizobium.sullae	rhizobium.spp.	195	462	657
60	0.38795611378257	0.515799236489875	0.280989642861789	0.234809593628086	1	4	1	2	2	5	0	0	4	2	2	3	0	0	4	2	1	4	cloacibacterium.spp.	bacillus.thermoamylovorans	196	461	657
61	0.38234404142464	0.508914254970861	0.299558128325252	0.20935612664561	9	179	3	37	12	197	9	3	36	16	12	34	35	3	144	34	57	140	erwinia.rhapontici	serratia.fonticola	215	442	657
62	0.369990591048997	0.510436324986082	0.302602268355693	0.207834056630389	2	3	1	3	3	4	2	0	1	3	3	1	1	0	2	3	3	1	hylemonella.spp.	variovorax.spp.	217	440	657
63	0.365460968711445	0.511958395001303	0.304124338370914	0.207834056630389	1	1	1	2	2	2	0	0	1	2	2	1	0	0	1	2	1	1	methylobacterium.thiocyanatum	sphingobium.yanoikuyae	218	439	657
64	0.359529778606388	0.497133699002297	0.322758165223919	0.174375533778378	10	162	2	62	12	208	10	2	35	36	12	46	45	1	117	61	62	146	stenotrophomonas.maltophilia	paucimonas.spp.	234	423	657
65	0.34999555728266	0.498655769017517	0.32580230525436	0.172853463763157	2	3	1	4	3	5	2	0	1	4	3	2	1	0	2	4	3	2	haemophilus.parainfluenzae	streptococcus.salivarius	236	421	657
66	0.349115837476552	0.500177839032738	0.327324375269581	0.172853463763157	1	2	1	1	2	2	0	0	2	1	2	1	0	0	2	1	1	1	devosia.yakushimanensis	devosia.soli	237	420	657
67	0.340311746711851	0.500685195704478	0.327324375269581	0.173360820434898	1	3	2	4	3	7	0	0	3	2	0	3	0	0	3	4	0	7	pedobacter.wanjuense	epilithonimonas.lactis	237	420	657
68	0.334502032560961	0.502207265719699	0.328846445284801	0.173360820434898	1	4	1	1	2	4	0	0	4	1	2	3	0	0	4	1	1	3	paenibacillus.xylanilyticus	paenibacillus.favisporus	238	419	657
69	0.333333333333333	0.50372933573492	0.330368515300022	0.173360820434898	1	1	1	1	2	1	0	0	1	1	2	0	0	0	1	1	1	0	nitrosococcus.spp.	flexibacter.spp.	239	418	657
70	0.333333333333333	0.50525140575014	0.331890585315243	0.173360820434898	1	1	1	1	2	1	0	0	1	1	2	0	0	0	1	1	1	0	nitratireductor.spp.	phyllobacterium.trifolii	240	417	657
71	0.333333333333333	0.506773475765361	0.333412655330464	0.173360820434898	1	1	1	1	2	1	0	0	1	1	2	0	0	0	1	1	1	0	agromyces.neoliticus	leifsonia.spp.	241	416	657
72	0.333333333333333	0.508295545780582	0.334934725345684	0.173360820434898	1	1	1	1	2	1	0	0	1	1	2	0	0	0	1	1	1	0	azospira.spp.	rhodoplanes.spp.	242	415	657
73	0.333310020087934	0.509817615795802	0.334934725345684	0.174882890450118	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	chryseobacterium.gregarium	dysgonomonas.spp.	242	415	657
74	0.332693126857213	0.511339685811023	0.334934725345684	0.176404960465339	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	leptotrichia.buccalis	veillonella.dispar	242	415	657
75	0.330892990946097	0.512100720818633	0.334934725345684	0.177165995472949	1	1	2	2	3	3	0	0	1	1	0	1	0	0	1	2	0	3	pedobacter.aquatilis	chryseobacterium.gregarium	242	415	657
76	0.325455773363896	0.513622790833854	0.334934725345684	0.17868806548817	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	yonghaparkia.palkaliphila	leucobacter.spp.	242	415	657
77	0.325168701613651	0.514637504177335	0.336710473696775	0.17792703048056	3	5	1	3	4	6	3	0	1	3	4	1	3	0	2	3	5	1	arthrobacter.sulfureus	arthrobacter.sp.	244	413	657
78	0.324730529264928	0.516159574192555	0.338232543711996	0.17792703048056	1	3	1	1	2	3	0	0	3	1	2	2	0	0	3	1	1	2	pedobacter.insulae	pedobacter.steynii	245	412	657
79	0.320655100032877	0.517681644207776	0.338232543711996	0.179449100495781	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	burkholderia.xenovorans	burkholderia.sordidicola	245	412	657
80	0.319992125699464	0.517912260876749	0.338739900383736	0.179172360493013	1	5	2	17	3	21	0	2	5	11	3	11	0	1	5	16	2	19	massilia.spp.	acinetobacter.piperi	246	411	657
81	0.319436585161168	0.51683060463908	0.337471508704385	0.179359095934695	2	11	2	9	4	20	0	2	8	6	2	9	0	1	11	8	1	19	novispirillum.novospirillum.itersonii	acinetobacter.towneri	246	411	657
82	0.318239026923044	0.515576538766938	0.361506377944734	0.154070160822204	4	45	12	208	16	223	4	12	16	46	16	46	6	62	39	146	98	125	leptothrix.spp.	stenotrophomonas.maltophilia	276	381	657
83	0.315010916502245	0.518049902541672	0.363028447959955	0.155021454581717	1	5	1	2	2	6	0	0	5	2	2	4	0	0	5	2	1	5	sphingomonas.oligophenolica	sphingomonas.spp.	277	380	657
84	0.309970939278416	0.513547112079977	0.361760056280604	0.151787055799373	2	23	2	10	4	33	2	0	16	6	2	16	1	0	22	10	1	32	corynebacteriales.spp.	nocardioides.spp.	277	380	657
85	0.308710530250229	0.515576538766938	0.364804196311045	0.150772342455893	2	5	1	4	3	7	2	0	3	4	3	4	1	0	4	4	3	4	cloacibacterium.spp.	corynebacterium.diphtheriae	279	378	657
86	0.305275161843694	0.514926199760435	0.367848336341487	0.147077863418948	2	19	1	7	3	24	2	0	10	7	3	11	1	0	18	7	3	21	rhizobium.leguminosarum	rhizobium.cellulosilyticus	281	376	657
87	0.297407267171062	0.517399563535168	0.369370406356708	0.148029157178461	1	5	1	2	2	6	0	0	5	2	2	4	0	0	5	2	1	5	sphingomonas.yabuuchiae	sphingomonas.aestuarii	282	375	657
88	0.294644980164765	0.518921633550389	0.369370406356708	0.149551227193682	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	corynebacterium.testudinoris	bergeyella.spp.	282	375	657
89	0.284693005829902	0.52044370356561	0.369370406356708	0.151073297208902	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	novosphingobium.spp.	novosphingobium.capsulatum	282	375	657
90	0.281700500086228	0.520063186061804	0.369370406356708	0.150692779705097	3	3	1	2	4	5	0	0	1	2	0	2	0	0	3	2	0	5	pedobacter.aquatilis	pedobacter.spp.	282	375	657
91	0.279407593223526	0.52120473857322	0.369370406356708	0.151834332216513	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	brevundimonas.spp.	limnohabitans.curvus	282	375	657
